"Alabaster","AL","Shelby County
 ",30799,30352,0.02,30352,0.08,0.28,0.09,0.51,0.79,0.14,0.00,0.01,-1,0.02,0.09,0.75,0.86,0.07,0.08,0.92,0.33,2250,32.60,0.85,0.07,167600,10567,2.81,28510,72902,0.06,2269,0.34,287605,306504,388744,13493,38405,25.04,1212.00,820,102732,97151,5581,5.40,1,0,,1,7,11,5,4,495,41,635,,,62,,14,29,-1,-1,-1,-1
"Albertville","AL","Marshall County
 ",21421,21160,0.01,21160,0.09,0.28,0.13,0.51,0.76,0.02,0.01,0.01,0.00,0.02,0.28,0.68,0.86,0.17,0.23,0.71,0.15,1256,18.10,0.66,0.13,103100,7360,2.79,18300,38438,0.23,2206,0.26,987938,823136,447483,22924,24099,26.56,796.80,988,41480,38343,3137,7.60,0,0,,2,7,11,5,4,495,82,928,,,34,,14,29,-1,-1,-1,-1
"Alexander City","AL","Tallapoosa County
 ",14876,14875,0.00,14875,0.07,0.24,0.18,0.53,0.62,0.32,0.00,0.01,-1,0.01,0.05,0.61,0.83,0.04,0.04,0.76,0.19,1215,20.10,0.59,0.18,95700,5914,2.47,20552,34453,0.23,1636,0.32,-1,-1,228733,15244,18806,40.84,364.20,1132,17270,15642,1628,9.40,1,0,,2,7,11,5,4,495,132,843,,,48,,14,29,-1,-1,-1,-1
"Andalusia","AL","Covington County
 ",9083,9015,0.01,9015,0.06,0.23,0.19,0.54,0.71,0.26,0.00,0.01,0.00,0.02,0.02,0.70,0.86,0.02,0.04,0.80,0.18,818,16.90,0.64,0.15,91200,3512,2.48,21112,30579,0.24,1483,"S",455466,146962,292210,33919,18909,19.66,458.60,1708,17012,15625,1387,8.20,1,0,,1,7,11,5,4,495,54,484,,,29,,14,29,-1,-1,-1,-1
"Anniston","AL","Calhoun County
 ",22959,23106,-0.01,23106,0.07,0.22,0.18,0.54,0.45,0.52,0.00,0.01,0.00,0.02,0.03,0.44,0.79,0.02,0.05,0.79,0.21,2563,19.20,0.58,0.25,95100,9787,2.28,21462,32943,0.27,2475,0.19,1642267,1990945,539761,22933,53547,45.64,506.30,1852,54085,49670,4415,8.20,2,0,2,2,7,11,5,4,495,584,2379,,,91,,14,29,-1,-1,-1,-1
"Arab","AL","Cullman County
 Marshall County
 ",8147,8050,0.01,8050,0.06,0.24,0.19,0.53,0.97,0.00,0.01,0.01,0.00,0.01,0.02,0.96,0.84,0.02,0.02,0.87,0.23,846,27.10,0.72,0.13,130400,3220,2.46,24619,43285,0.16,804,0.24,-1,26169,214704,27240,15985,12.98,620.10,2116,38977,36268,2709,7.00,0,0,,1,7,11,5,4,495,-1,-1,,,25,,14,29,-1,-1,-1,-1
"Athens","AL","Limestone County
 ",22590,21897,0.03,21897,0.07,0.23,0.16,0.52,0.73,0.18,0.01,0.01,0.00,0.02,0.09,0.71,0.85,0.05,0.07,0.84,0.27,1684,22.80,0.65,0.23,140700,8872,2.36,26521,45827,0.14,2248,0.21,518865,138517,515213,22763,57482,39.54,553.80,2956,39846,37141,2705,6.80,1,0,1,1,7,11,5,4,495,32,802,,,46,,14,29,-1,-1,-1,-1
"Atmore","AL","Escambia County
 ",10147,10194,-0.01,10194,0.06,0.19,0.13,0.39,0.40,0.56,0.02,0.00,0.00,0.01,0.02,0.39,0.80,0.03,0.02,0.63,0.11,760,24.70,0.66,0.16,92600,2964,2.48,15719,34634,0.23,1049,"S",-1,11693,142567,14018,11595,21.85,466.50,3004,14906,13471,1435,9.60,1,0,,2,7,11,5,4,495,-1,-1,,,31,,14,29,-1,-1,-1,-1
"Attalla","AL","Etowah County
 ",6042,6048,0.00,6048,0.06,0.23,0.17,0.53,0.82,0.13,0.00,0.01,-1,0.02,0.05,0.80,0.84,0.03,0.03,0.75,0.09,528,22.20,0.67,0.17,62900,2393,2.49,16180,31637,0.20,539,0.30,97496,165402,45793,6957,12451,6.98,866.50,3028,45961,42048,3913,8.50,0,0,,1,7,11,5,4,495,57,253,,,21,,14,29,-1,-1,-1,-1
"Auburn","AL","Lee County
 ",54566,53391,0.02,53380,0.05,0.18,0.07,0.50,0.75,0.17,0.00,0.05,-1,0.02,0.03,0.74,0.63,0.08,0.10,0.94,0.60,2180,16.80,0.45,0.49,214800,21466,2.24,23840,37460,0.27,4084,0.25,868957,88281,672375,12082,123133,58.07,919.30,3076,67650,63094,4556,6.70,0,0,1,1,7,11,5,4,495,-1,-1,,,105,,14,29,-1,-1,-1,-1
