"Marshfield","WI","Marathon County
 Wood County
 ",19129,19118,0.00,19118,0.07,0.21,0.18,0.53,0.95,0.01,0.00,0.02,-1,0.01,0.02,0.94,0.83,0.04,0.06,0.89,0.26,1661,14.20,0.59,0.36,127700,8786,2.09,27766,44411,0.13,1655,0.23,644305,361386,601911,31878,39887,13.46,1420.70,49675,73517,69366,4151,5.60,1,0,,1,10,19,7.75,5,1573,6,518,,,39,,14,41,-1,-1,-1,-1
"Mayville","WI","Dodge County
 ",5146,5154,0.00,5154,0.06,0.24,0.17,0.51,0.97,0.00,0.00,0.01,0.00,0.01,0.03,0.96,0.80,0.01,0.02,0.82,0.17,370,23.50,0.72,0.32,138200,2062,2.45,24249,56716,0.07,270,0.25,425581,-1,67174,12667,3831,3.17,1625.40,50200,46954,44093,2861,6.10,0,0,,1,10,19,7.75,5,1573,5,105,,,10,,14,41,-1,-1,-1,-1
"McFarland","WI","Dane County
 ",7937,7808,0.02,7808,0.06,0.27,0.10,0.51,0.94,0.01,0.00,0.02,0.00,0.02,0.02,0.93,0.90,0.04,0.07,0.95,0.44,704,24.00,0.75,0.19,232700,3019,2.54,34883,75259,0.08,909,0.26,-1,104735,50501,6594,9272,3.55,2200.10,46850,300599,288660,11939,4.00,0,0,,1,10,19,7.75,5,1573,2,162,,,14,,14,41,-1,-1,-1,-1
"Menasha","WI","Calumet County
 Winnebago County
 ",17442,17353,0.01,17353,0.07,0.25,0.12,0.51,0.91,0.01,0.01,0.02,0.00,0.02,0.07,0.88,0.90,0.03,0.07,0.91,0.21,1465,18.50,0.67,0.32,119600,7507,2.30,25266,45090,0.15,1097,0.25,947610,45231,119003,7086,19386,6.03,2876.80,50825,27974,26756,1218,4.40,0,0,,1,10,19,7.75,5,1573,51,538,,,31,,14,41,-1,-1,-1,-1
"Menomonee Falls","WI","Waukesha County
 ",35704,35626,0.00,35626,0.06,0.23,0.18,0.52,0.92,0.03,0.00,0.04,-1,0.01,0.02,0.90,0.90,0.05,0.08,0.94,0.39,2599,20.10,0.76,0.25,237500,14532,2.42,35440,71326,0.03,3280,0.25,2070589,884211,573548,16716,39514,32.92,1082.30,51000,213679,203276,10403,4.90,0,0,,1,10,19,7.75,5,1573,16,362,,,58,,14,41,-1,-1,-1,-1
"Menomonie","WI","Dunn County
 ",16301,16264,0.00,16264,0.04,0.13,0.11,0.51,0.92,0.01,0.01,0.04,-1,0.02,0.02,0.91,0.60,0.03,0.07,0.90,0.31,960,16.30,0.45,0.50,145600,5595,2.29,17761,37297,0.31,877,"S",-1,113215,291545,18571,33287,13.69,1188.40,51025,26349,25206,1143,4.30,1,0,,1,10,19,7.75,5,1573,11,361,,,26,,14,41,-1,-1,-1,-1
"Mequon","WI","Ozaukee County
 ",23178,23132,0.00,23132,0.04,0.23,0.17,0.51,0.92,0.03,0.00,0.04,-1,0.01,0.02,0.90,0.91,0.08,0.12,0.98,0.61,1708,22.90,0.89,0.13,365900,8735,2.57,60920,106519,0.03,2842,0.21,734542,461301,252022,10842,49701,46.28,499.80,51150,46876,44683,2193,4.70,1,0,,1,10,19,7.75,5,1573,7,157,,,36,,14,41,-1,-1,-1,-1
"Merrill","WI","Lincoln County
 ",9614,9661,-0.01,9661,0.06,0.24,0.19,0.52,0.96,0.01,0.00,0.01,-1,0.01,0.02,0.95,0.87,0.02,0.03,0.85,0.12,896,21.30,0.57,0.35,88700,4584,2.05,21116,38671,0.15,778,"S",-1,36042,156007,16188,11346,7.24,1334.90,51250,14800,13694,1106,7.50,1,0,,1,10,19,7.75,5,1573,39,341,,,22,,14,41,-1,-1,-1,-1
"Middleton","WI","Dane County
 ",17729,17442,0.02,17442,0.05,0.22,0.12,0.52,0.87,0.04,0.00,0.04,-1,0.03,0.06,0.84,0.83,0.10,0.12,0.96,0.54,981,20.00,0.59,0.49,265900,7859,2.19,39364,60337,0.06,2395,0.26,504538,469751,926020,54996,80326,8.98,1941.70,51575,300599,288660,11939,4.00,0,0,,1,10,19,7.75,5,1573,16,374,,,36,,14,41,-1,-1,-1,-1
"Milton","WI","Rock County
 ",5538,5546,0.00,5546,0.06,0.26,0.13,0.51,0.96,0.01,0.00,0.01,0.00,0.01,0.02,0.95,0.88,0.00,0.02,0.94,0.29,566,26.40,0.69,0.28,143700,2354,2.34,26005,55179,0.06,650,0.41,289890,35564,34619,6057,5912,3.53,1572.40,52200,78353,72822,5531,7.10,0,0,,1,10,19,7.75,5,1573,-1,-1,,,9,,14,41,-1,-1,-1,-1
